"acc","n mapped reads","n contigs"
"SRR5353282","8583146","65658"
"SRR14583829","17659295","150422"
"SRR5353274","2852578","56305"
"ERR1147311","72867335","255603"
"SRR6766872","9557490","268981"
"SRR9332008","2086341","69777"
"SRR12687642","11106214","69345"
"SRR6998662","4028984","105740"
"SRR1972516","10460777","56985"
"SRR1514880","21585502","51694"
"SRR8464846","16122955","227456"
"SRR9606756","8519586","54084"
"SRR8293935","39973219","186065"
"SRR6512852","15736404","134039"
"SRR8386112","17386104","254649"
"SRR15714765","10873840","110836"
"SRR6023958","28889963","558810"
"SRR15275182","14595530","220402"
"SRR7348691","5917143","104685"
"SRR10957072","22788146","169801"
"SRR8784138","25813492","37149"
"ERR414137","29022822","65461"
"ERR146943","42613646","22455"
"SRR10446422","9493042","55918"
"SRR10446417","7986381","32881"
"SRR11906528","12644780","73592"
"SRR7687009","31909633","500893"
"SRR1505175","22750630","239408"
"SRR618507","13719611","164969"
"SRR1797867","22872901","145082"
"SRR1505100","9729853","132286"
"SRR3581115","11959224","83406"
"SRR3581106","29769704","187348"
"SRR1611560","4595365","34124"
"SRR1508368","18986243","93852"
"SRR5811995","14237844","165714"
"SRR1611562","7494096","49476"
"SRR3581128","11840866","84524"
"SRR1611583","6129025","54358"
"SRR14868528","11437357","156663"
"SRR14561348","20497921","87226"
"SRR13614426","4752640","296663"
"SRR8320992","6457753","419983"
"SRR13614433","4722349","235133"
"SRR13614432","3709093","363930"
"SRR13614431","1740962","142946"
"SRR11128566","8979049","350513"
"SRR13614430","4184350","500955"
"SRR13614429","5339795","536260"
"SRR13614428","2428426","221037"
"SRR13614424","4178887","191896"
"SRR13614423","3475338","248486"
"SRR13614447","1217939","115573"
"SRR8318947","5872826","339412"
"SRR13614446","1272987","161100"
"SRR13614445","1279650","229753"
"SRR13614443","5113166","539866"
"SRR13614440","4626628","454144"
"SRR13614438","7340954","367087"
"SRR1145776","8437169","177943"
"SRR13614435","1121163","169077"
"SRR13614434","3418622","351232"
"SRR13614437","956498","190033"
"SRR14868533","15473514","94190"
"SRR5031247","6907913","54217"
"SRR5811960","19840464","257940"
"SRR1611565","9487202","131298"
"SRR1611566","10736120","185323"
"SRR2131255","13195612","197438"
"SRR5311041","41705488","100272"
"SRR8674649","7118909","47003"
"SRR5819939","24526825","45614"
"SRR11928673","12665309","143521"
"SRR11928790","14701242","37667"
"SRR11928785","10236910","80303"
"SRR1980045","2075337","39634"
"SRR8592701","372524","23776"
"SRR8886798","11474609","92694"
"SRR10992330","3582298","126241"
"SRR2394941","12428924","203208"
"SRR1166532","1752594","21759"
"SRR4423080","23774834","116950"
"SRR9670664","22735104","48875"
"SRR1611567","4531643","24017"
"SRR2131688","1593478","33837"
"SRR7962072","19306890","67806"
"SRR12686548","13896216","34064"
"SRR10426064","17059582","38529"
"SRR10426062","19575662","62681"
"SRR5197741","7277555","50029"
"SRR13452041","42688210","52967"
"SRR15184123","6645976","59471"
"SRR11747658","5190307","113611"
"SRR1976570","353293","5257"
"SRR2429147","19354616","38421"
"ERR454505","24377637","47134"
"SRR2430028","20737637","39284"
"SRR2430030","14973133","51332"
"SRR2430032","18155812","87611"
"ERR5430763","16828617","59670"
"SRR7309271","20894252","72822"
"SRR8354803","1348596","74471"
"SRR5218243","18206617","45284"
"SRR14868527","26833483","55608"
"SRR8294673","10502369","21920"
"SRR5367860","15234673","137163"
"SRR7340056","24034266","91925"
"ERR6745738","11308109","114561"
"SRR10352205","20721305","236374"
"SRR10743033","15084188","72590"
"SRR1199268","32331948","58064"
"SRR1197522","29422941","31529"
"SRR4072794","11027164","80891"
"SRR8599817","15188205","136795"
"SRR3105702","5257943","61731"
"SRR3105703","6819315","45480"
"SRR3105704","13011138","81885"
"SRR3105705","14161809","23447"
"SRR8641368","19018083","6460"
"SRR8454196","14146295","87064"
"SRR12179257","153287400","79650"
"SRR2681155","58530021","177673"
"SRR8491950","8299589","37612"
"SRR8617822","8508097","137793"
"SRR6375633","25036391","84023"
"SRR8524599","18947701","45245"
"SRR8506641","29046620","37917"
"SRR8638116","16088741","8931"
