acc,clumpify input reads,clumpify output reads,Trimmomatic input reads,Trimmomatic output reads
SRR5353282,76821062,64544908,12229501,11130078
SRR5353274,47476496,37076092,5594722,4992346
SRR5167051,killed,killed,killed,killed
ERR1147311,killed,killed,killed,killed
SRR6766872,54744608,34090130,16610227,13837773
SRR9332008,52507138,10741638,5147209,4548564
SRR12687642,50594154,36099252,17221839,12157696
SRR6998662,30796374,14193612,6832248,6492273
SRR1972516,66512808,40741492,19969065,16984002
SRR1514880,94469742,64750552,26721477,25464560
SRR8464846,42721380,38401534,19057735,18653391
SRR9606756,66180552,22871716,10929185,9506078
SRR8293935,killed,killed,killed,killed
SRR6512852,52662226,38302432,18557051,17777353
SRR8386112,52878778,43314612,20420947,20375708
SRR15714765,40386728,25781716,12587712,11906394
SRR6023958,killed,killed,killed,killed
SRR15275182,48211922,37656700,18387502,17406999
SRR7348691,20682190,20271990,9929181,6824913
SRR10957072,65376548,56036104,27655365,27152740
