acc,clumpify input reads,clumpify output reads,Trimmomatic input reads,Trimmomatic output reads
SRR5311041,122627740,100218064,49911077,49883331
SRR8674649,54343904,23511200,9767427,7808867
SRR5819939,64332952,51987750,25623130,25118814
SRR9670664,60810370,59356520,29004757,28342870
SRR1611567,57331982,37249146,7762984,6816589
SRR2131688,58563582,4626186,2196838,2058111
SRR7962072,63202818,48554910,22919059,22769544
SRR12686548,49615558,31278316,14770054,14221997
SRR10426064,62471774,40644476,19627161,18723783
SRR10426062,70772340,49125892,23694747,22559146
SRR5197741,32697716,29181238,9848539,8333438
SRR13452041,169004756,102940868,49923026,46299214
SRR15184123,39804544,18132274,8615119,8295139
SRR11747658,103822642,77107742,20562621,6023300
SRR1976570,58563402,7463770,3163342,3030290
SRR2429147,60921962,50486650,22425443,22280206
ERR454505,93809044,62690552,29179769,26625260
SRR2430028,63154844,50816792,23230658,23070199
SRR2430030,53058184,43006222,18100696,17990546
SRR2430032,69096222,54849104,23304992,23154505
ERR5430763,45757278,41830616,20432340,17871695
SRR7309271,55319458,47612808,23526605,23497712
SRR8354803,27783750,6185310,2765329,2598091
SRR5218243,55665102,38851196,19183697,18865171
SRR14868527,70923938,59598740,29251165,29027853
SRR8294673,48248022,40690284,13313266,13171435
SRR5367860,43568162,37843686,18782758,18455285
SRR7340056,57619086,49607790,24671765,24642796
ERR6745738,42870292,27911682,13819937,12633600
SRR10352205,104717836,73908048,28060637,26529726
SRR10743033,44914090,33531814,16536839,16371024
SRR1199268,84572952,73866294,36826205,35822641
SRR1197522,75311052,62974686,31281941,31003678
SRR4072794,37515452,28682688,12354379,12184853
SRR8599817,44285536,37299322,18463857,18097360
SRR3105702,59713778,49153950,12019447,11286286
SRR3105703,66568632,54950284,13119837,12344724
SRR3105704,88983638,81933448,25190430,23941058
SRR3105705,94390172,77751870,20700559,19650856
SRR8641368,53092496,47848638,23545506,21471991
SRR8454196,63928494,40352602,19442208,19070275
SRR12179257,905204836,411651090,193605742,193498243
SRR2681155,202149626,164342456,81680240,69517012
SRR8491950,62042532,35603734,14645991,14158960
SRR8617822,56240924,30948004,14685863,13990168
SRR6375633,64000000,54399302,26990114,26541750
SRR8524599,95005748,60480898,27594347,26411117
SRR8506641,74833050,67298040,33398482,31479726
SRR8638116,62922222,59125046,22035008,20293476
