old.acc	run	biosample	taxid	size	isolation	geolocation	coords	phylum	order	family	genus	species	habitat	laboratory	libstrat	libsource	assembly_suyo	bases
SRS2054717	SRR5353282	SRS2054717	1963172	5.03515625	N/A	Madagascar: Place Kabary, Antsiranana, 12 16'58.27''S 49 17'25.94''E	NA	Annelida	Crassiclitellata	Acanthodrilidae		Acanthodrilidae sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	7682106200
SRS6492763	SRR11559519	SRS6492763	55817	3.642578125	N/A	N/A	NA	Annelida	Crassiclitellata	Aeolosomatidae	Aeolosoma	Aeolosoma sp.	Freshwater	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	5820496600
ERS682557	ERR790006	ERS682557	1046305	4.021484375	NA	NA	NA	Annelida	Crassiclitellata	Ailoscolecidae	Ailoscolex	Ailoscolex lacteospumosus	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	5796472416
SRS6087377	SRR10997452	SRS6087377	2705226	4.1533203125	N/A	South Africa: False Bay	34.158 S 18.434 E	Annelida	Haplotaxida	Naididae	Albanidrilus	Albanidrilus sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	7007536600
SRS2054715	SRR5353280	SRS2054715	1963174	3.4609375	N/A	Gabon: edge of Lac Vembo, Gamba complex	NA	Annelida	Crassiclitellata	Almidae	Alma	Alma sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	5934849498
SRS4121177	SRR8297750	SRS4121177	320991	2.310546875	not applicable	China: Guangdong	NA	Annelida	Crassiclitellata	Megascolecidae	Amynthas	Amynthas aspergillus	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	8006324114
SRS4229215	SRR8416235	SRS4229215	301145	2	Macela (~Sao Miguel)	Portugal: Sao Miguel Island, Macela Inactive Volcanic soils	NA	Annelida	Crassiclitellata	Megascolecidae	Amynthas	Amynthas gracilis	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	3832782011
SRS6087378	SRR10997451	SRS6087378	2705227	4.259765625	N/A	Brazil: Amazonas	2.925 S 59.976 W	Annelida	Crassiclitellata	Glossoscolecidae	Andiorrhinus	Andiorrhinus sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	6529235600
SRS6087389	SRR10997440	SRS6087389	2705243	3.8623046875	N/A	Brazil: Amazonas	2.931 S 59.975 W	Annelida	Crassiclitellata	Almidae	Areco	Areco reco	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	5933884400
SRR15099913	SRR15099913	SRS9453395	6344	4.744110182859	Kandalaksha bay, the Cape Kindo peninsula	Russia: the White sea	NA	Annelida		Arenicolidae	Arenicola	Arenicola marina	Marine	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	9192988782
SRS6087400	SRR10997429	SRS6087400	2020002	3.8125	N/A	Australia: Victoria, Acheron River	37.354 S 145.706 E	Annelida	Haplotaxida	Naididae	Aulodrilus	Aulodrilus japonicus	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	6008673400
SRS2054695	SRR5353260	SRS2054695	1963184	4.33203125	N/A	France: Jargeau, Loiret Department	NA	Annelida	Crassiclitellata	Lumbricidae	Avelona	Avelona ligra	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	7705170714
SRS4549414	SRR8799332	SRS4549414	188202	5.931640625	N/A	Australia: Queensland	23.44 S 151.913 E	Annelida	Haplotaxida	Naididae	Bathydrilus	Bathydrilus rohdei	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	9166646400
SRS6087408	SRR10997421	SRS6087408	2705229	3.705078125	N/A	South Africa: Saldanha Bay	33.007 S 17.947 E	Annelida	Haplotaxida	Naididae	Bathydrilus	Bathydrilus sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	6131374000
