phylum,species,accession,nreads,Adenoviridae,Adintoviridae,Adomaviridae,Aliusviridae,Alloherpesviridae,Alphaflexiviridae,Alphasatellitidae,Alphatetraviridae,Alvernaviridae,Amalgaviridae,Amnoonviridae,Anelloviridae,Arenaviridae,Arteriviridae,Artoviridae,Ascoviridae,Asfarviridae,Aspiviridae,Astroviridae,Bacilladnaviridae,Baculoviridae,Barnaviridae,Benyviridae,Betaflexiviridae,Bidnaviridae,Birnaviridae,Bornaviridae,Botourmiaviridae,Bromoviridae,Caliciviridae,Carmotetraviridae,Caulimoviridae,Chrysoviridae,Chuviridae,Circoviridae,Closteroviridae,Coronaviridae,Cruciviridae,Cruliviridae,Cystoviridae,Deltaflexiviridae,Dicistroviridae,Endornaviridae,Filoviridae,Fimoviridae,Flaviviridae,Fusariviridae,Gammaflexiviridae,Geminiviridae,Genomoviridae,Hantaviridae,Hepadnaviridae,Hepeviridae,Herpesviridae,Hypoviridae,Hytrosaviridae,Iflaviridae,Inoviridae,Iridoviridae,Kitaviridae,Kolmioviridae,Lavidaviridae,Leishbuviridae,Leviviridae,Lispiviridae,Luteoviridae,Malacoherpesviridae,Marnaviridae,Marseilleviridae,Matonaviridae,Mayoviridae,Medioniviridae,Megabirnaviridae,Mesoniviridae,Metaviridae,Microviridae,Mimiviridae,Mitoviridae,Mymonaviridae,NA,Nairoviridae,Nanoviridae,Narnaviridae,Nimaviridae,Nodaviridae,Nudiviridae,Nyamiviridae,Orthomyxoviridae,Ovaliviridae,Papillomaviridae,Paramyxoviridae,Partitiviridae,Parvoviridae,Peribunyaviridae,Permutotetraviridae,Phasmaviridae,Phenuiviridae,Phycodnaviridae,Picobirnaviridae,Picornaviridae,Pithoviridae,Pneumoviridae,Podoviridae,Polycipiviridae,Polydnaviridae,Polymycoviridae,Polyomaviridae,Portogloboviridae,Potyviridae,Poxviridae,Pseudoviridae,Qinviridae,Quadriviridae,Redondoviridae,Reoviridae,Retroviridae,Rhabdoviridae,Roniviridae,Secoviridae,Sinhaliviridae,Smacoviridae,Solemoviridae,Solinviviridae,Tobaniviridae,Togaviridae,Tombusviridae,Tospoviridae,Totiviridae,Tristromaviridae,Tymoviridae,Virgaviridae,Xinmoviridae
BRACHIOPODA,Glottidia_pyramidata,SRR1611555,127445,2,0,0,0,4,0,0,0,0,0,0,0,0,1,0,181,34,0,1,0,189,0,0,3,0,0,0,0,0,1,0,26,0,0,4,0,39,0,0,0,0,0,0,0,0,2773,0,0,0,0,0,0,168,126,5,0,0,0,93,1,0,4,0,0,0,0,0,0,2650,0,0,0,0,1,0,0,17068,985,0,19109,25,0,0,10,0,43,0,7,0,55,0,166,14,0,0,0,0,1995,0,3,986,0,0,0,34,0,0,0,9,1358,0,0,0,0,8,72934,74,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0
BRACHIOPODA,Hemithiris_psittacea,SRR1611556,52260,8,11,1,0,8,0,0,0,3,0,0,15,0,4,0,76,74,0,0,0,358,0,0,6,0,0,1,0,0,3,0,8,0,1,0,0,44,0,0,0,0,11,0,0,0,1202,0,1,0,0,0,5,2897,206,0,0,2,0,566,0,0,1,0,1,0,0,0,10,1395,0,0,0,0,0,1,0,17548,397,0,7909,12,0,2,9,3,23,0,1,0,31,0,212,0,0,0,0,0,1935,0,7,1176,0,0,0,198,0,0,0,88,666,0,0,0,0,0,6587,2,5,0,0,0,0,0,0,1,2,0,2,0,0,0,0
BRACHIOPODA,Kraussina_rubra,SRR2131392,58472,0,2,0,0,55,484,0,0,0,0,0,0,0,1,0,21,36,0,0,0,501,0,0,2,0,1,0,0,0,4,0,5,0,1,0,0,129,0,0,0,0,1,0,0,0,4459,0,0,0,2,0,30,1503,36,0,0,0,0,153,0,0,13,0,0,1,0,3,0,3063,0,0,0,0,0,3,0,17850,183,0,10255,2,0,0,21,0,9,0,3,0,1,1,39,0,0,0,0,0,4706,0,10,1543,0,0,0,138,0,0,0,6,1087,0,0,0,0,1,655,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0
BRACHIOPODA,Laqueus_californianus,SRR1611557,56763,30,0,0,0,10,0,0,0,0,0,0,0,0,7,0,10,4,0,0,0,177,0,0,12,0,0,0,0,0,0,0,29,0,0,0,13,20,0,0,1,0,0,1,1,0,1278,0,0,0,0,0,2,746,54,0,0,0,0,66,0,0,12,0,14,0,0,1,0,6813,0,0,2,0,0,6,0,15571,747,0,9784,65,0,0,5,0,8,0,0,0,10,0,199,2,0,0,0,305,3089,0,3,1163,0,0,0,122,0,0,0,35,1517,0,0,0,0,2,7060,0,5,10,0,0,1,0,0,0,0,0,1,0,0,0,0
BRACHIOPODA,Lingula_anatina,SRR2131235,440160,3,1,2,0,136,0,0,0,0,0,0,20,16,156,0,408,86,0,43,0,6093,0,34,3,0,0,0,0,0,21,0,966,3,6,84,5,468,7,0,0,0,26,0,22,0,18436,28,6,51,0,0,17,10197,954,1,1,0,0,1344,34,0,19,0,0,1,0,3,0,10473,0,0,21,0,0,6,0,91277,25558,0,95342,581,0,0,46,0,406,0,6,0,183,23,674,10,12,0,56,129,30912,0,477,5238,0,0,0,1465,0,0,0,17,3013,0,0,0,0,21,41930,6,24,0,0,0,2,0,0,0,0,0,0,0,0,0,0
BRACHIOPODA,Terebratalia_transversa,SRR2564755,1514343,39,0,0,0,598,7,0,0,0,0,0,50,1,563,0,10421,2378,0,3581,0,22885,0,2,581,0,0,0,1,2,131,0,4780,0,0,6,87,769,1,0,0,0,13,23,5,1,42961,0,24,0,0,2,134,4847,4321,1,0,0,0,13689,26,1,22,0,2,0,0,107,6,85883,0,0,0,0,2,91,0,367772,30604,0,295143,1732,0,1,1082,1,2158,1,23,0,1078,3,8065,27,2,0,0,1,96602,2,622,35092,1,0,0,9357,0,14,0,1516,89503,0,0,0,1,20,125625,1,10,2,0,0,3,0,1,0,2,0,1,0,2,0,1
BRYOZOA,Bugula_neritina,SRR9691423,627805,7,1,0,0,218,1,0,0,0,0,0,41,1,279,0,193,605,0,9,0,7995,0,0,5,0,0,0,0,0,27,0,11956,0,0,0,10,106,1,0,1,0,0,1,5,0,19985,0,0,829,0,1,6,13397,23224,0,3,0,0,2597,0,0,4,0,1,0,0,0,1,23144,0,0,0,4,10,0,0,178655,21636,0,73075,114,0,87,826,4,851,1,5,0,43,2,2548,102,1,0,0,0,40817,0,27,19817,1,0,0,2099,0,1,0,16,10808,0,0,0,0,36,77304,2,0,0,0,0,11,0,0,0,6,0,3,0,2,0,0
BRYOZOA,Cristatella_mucedo,SRR10620231,393133,63,10,0,0,68,1,0,0,0,0,0,10,0,31,0,1447,2554,0,0,0,4502,0,0,94,0,0,0,0,0,0,0,5457,0,0,1,0,126,0,0,0,0,0,4,1,0,21384,0,0,15,1,1,56,6902,1068,0,0,0,0,2490,0,0,181,0,0,0,0,0,0,14288,2,0,0,0,1,0,0,121222,15169,0,63250,103,0,0,157,0,391,0,6,0,20,1,1119,10,0,0,0,1,30509,1,4,6798,1,0,0,898,0,0,0,38,8476,0,0,0,0,6,27974,2,4,0,0,11,1,0,1,7,3,0,5,0,5,0,0
BRYOZOA,Flustrellidra_corniculata,SRR9667736,467463,38,4,1,0,59,2125,0,0,0,0,0,10,4,46,0,321,60,0,4,0,2193,0,0,10,0,0,0,0,0,49,0,529,0,3,108,14,112,6,0,0,0,3,3,3,0,7979,1,0,16,1,2,5,4254,542,17,5,2,0,2343,0,0,3,0,3,0,0,0,5,25687,0,0,0,16,0,0,0,163388,24973,0,72602,56,0,9,347,0,467,0,52,0,236,6,464,12,4,0,0,47,32407,1,12,6494,4,0,7,1301,0,2,0,12,15004,0,0,0,0,13,42067,7,1,3,0,0,6,0,1,0,3,2,1,0,9,0,0
BRYOZOA,Fredericella_sultana,SRR11747693,957272,357,1,0,0,543,151,0,0,0,0,0,61,2,61,0,1200,469,1,7,0,11158,0,0,23,0,0,1,2,2,56,0,13598,2,3,50,4,358,5,0,0,1,18,1,1,1,27798,1,50,40,9,7,18,8434,1634,0,2,0,0,5491,0,0,97,0,7,1,1,11,0,28044,3,0,2,0,36,0,0,335731,18205,7,117496,495,0,2002,5856,1,1585,0,30,0,68,29,4929,51,21,0,0,9,71836,32,12,20839,0,0,1,2513,0,5,0,107,25554,1,0,0,0,18,92614,85,28,7,2,0,4,0,5,3,3,3,28,0,2,0,0
BRYOZOA,Heteropora_pacifica,SRR9681687,32581,24,54,0,0,19,647,0,0,0,0,0,2,10,16,0,59,82,0,0,0,205,0,0,1,0,0,0,3,0,2,0,106,0,1,1,3,28,2,0,0,0,1,0,0,0,1498,1,1,4,2,2,4,237,162,0,0,0,0,105,0,0,0,0,3,0,0,0,4,677,2,0,0,0,0,0,0,12184,619,0,5111,12,0,1,16,5,30,0,8,0,23,3,78,13,4,0,0,0,2037,25,1,580,0,0,0,439,0,5,0,3,740,0,0,0,0,22,1211,18,1,1,0,0,7,0,0,2,1,1,7,0,16,0,0
BRYOZOA,Membranipora_membranacea,SRR2131259,1275800,19,1,1,0,2438,2,0,0,0,0,0,38,5,16,0,4295,591,1,8,0,19490,0,0,111,0,0,0,0,0,242,0,1051,0,0,324,112,314,1,0,1,0,14,0,55,0,28972,0,78,3,0,0,20,15101,3729,1,131,0,0,8337,0,0,1,0,90,0,0,0,0,45110,0,2,0,0,0,5,0,288061,81097,1,241183,777,0,0,3352,0,2918,0,4,0,548,1,3088,0,8,0,0,2,80384,0,96,47119,0,0,0,28372,0,11,0,95,45190,0,0,0,0,5,110001,50,1,8,0,0,1,0,10,2,3,0,7,0,1,0,0
BRYOZOA,Schizoporella_errata,SRR11784297,766602,34,12,1,0,658,41,0,0,0,0,0,31,2,146,0,1376,335,0,4,1,12131,0,1,11,0,1,1,0,1,128,0,2888,0,0,17,35,126,0,0,0,0,82,225,3,0,21216,0,21,104,3,0,12,9910,3270,0,54,1,0,5688,0,211,14,0,30,0,0,0,3,26659,0,0,19,6,33,2,0,236382,27389,0,126694,316,0,3,897,1,1308,0,70,0,135,87,5148,30,0,0,0,61,51872,1,77,14106,1,0,0,4634,0,2,0,22,20237,0,0,0,0,9,68212,18,49,4,1,0,135,0,0,91,2,0,3,0,6,1,0
BRYOZOA,Watersipora_subtorquata,SRR11783869,858543,325,0,0,0,467,65,0,0,0,0,0,33,0,137,0,3192,428,0,131,0,15958,0,0,3,0,0,0,0,0,181,0,1451,25,0,3,3,104,1,0,0,0,1,6,5,0,45505,0,8,8,13,1,1,10252,2490,0,27,1,0,5007,0,2,8,0,19,0,0,3,30,29423,0,13,21,443,61,23,0,227979,24722,0,163127,842,0,2,2430,0,1228,0,54,0,74,35,3605,10,2,1,0,15,48510,0,172,13362,1,0,0,5081,0,20,1,30,14700,0,0,0,0,361,110998,8,43,3,0,0,1,0,15,3,6,0,24,0,2,1,0
CHAETOGNATHA,Eukrohnia_hamata,SRR7754745,278346,57,0,2,0,117,67,0,0,0,0,0,90,3,96,0,136,37,0,5,0,1787,0,1,38,0,0,0,1,0,12,0,122,0,0,83,3,35,29,0,0,1,0,1,2,0,4750,1,6,18,18,1,8,3324,748,0,0,3,0,1398,0,0,61,0,3,0,1,0,0,8657,1,0,0,0,1,0,0,75955,14315,0,44596,75,0,0,104,0,995,0,13,0,153,6,1196,7,4,1,0,9,20001,13,1103,2597,1,0,0,118,0,4,0,10,7272,0,0,0,0,40,60524,3,0,2,0,0,9,0,0,3,4,0,5,0,0,0,0
CHAETOGNATHA,Krohnitta_subtilis,SRR7754744,270313,111,0,5,0,109,68,0,0,0,0,0,82,4,2842,0,1648,70,0,22,1,2621,0,0,2,0,1,0,1,1,24,0,1160,0,0,10,2,963,4,0,0,0,18,1,0,1,6097,4,3,46,9,0,37,1476,956,0,3,2,0,974,0,2,69,1,19,0,0,2,0,17413,1,0,0,0,0,11,0,82730,4430,0,41097,222,0,11,258,0,206,0,23,0,131,8,1094,24,1,0,0,5,16950,1,306,7014,17,0,0,334,0,2,0,23,12450,0,0,0,0,163,24542,4,0,33,6,0,19,0,0,19,4,31,56,0,9,32,0
