"accession","Adenoviridae","Adomaviridae","Alloherpesviridae","Ascoviridae","Asfarviridae","Autographiviridae","Baculoviridae","Bicaudaviridae","Caulimoviridae","Coronaviridae","Flaviviridae","Geminiviridae","Hepeviridae","Herelleviridae","Herpesviridae","Hytrosaviridae","Inoviridae","Iridoviridae","Lavidaviridae","Marseilleviridae","Metaviridae","Microviridae","Mimiviridae","Mitoviridae","Myoviridae","Nairoviridae","Nimaviridae","Nudiviridae","Ovaliviridae","Partitiviridae","Phycodnaviridae","Picornaviridae","Pithoviridae","Podoviridae","Polydnaviridae","Poxviridae","Reoviridae","Retroviridae","Salasmaviridae","Secoviridae","Siphoviridae","Unclassified.viruses","Virgaviridae","Ackermannviridae","Adintoviridae","Drexlerviridae","Malacoherpesviridae","Marnaviridae","Nodaviridae","Chrysoviridae","Fuselloviridae","Lipothrixviridae","Chuviridae","Corticoviridae","Closteroviridae","Cystoviridae","Iflaviridae","Paramyxoviridae","Potyviridae","Pseudoviridae","Demerecviridae","Circoviridae","Dicistroviridae","Totiviridae","Filoviridae","Narnaviridae","Rhabdoviridae","Schitoviridae","Zobellviridae","Arenaviridae","Picobirnaviridae","Papillomaviridae","Nyamiviridae","Fiersviridae","Xinmoviridae","Hepadnaviridae","Parvoviridae","Tombusviridae","Betaflexiviridae","Lispiviridae","Alphaflexiviridae","Leviviridae","Togaviridae","Peribunyaviridae","Phenuiviridae","Artoviridae","Qinviridae","Cruciviridae","Astroviridae","Bacilladnaviridae","Solspiviridae","Steitzviridae","Myriaviridae","Mesoniviridae","Endornaviridae","Hantaviridae","Tectiviridae","Bromoviridae","Genomoviridae","Botourmiaviridae","Sphaerolipoviridae","Kitaviridae","Mayoviridae","Phasmaviridae","Orthomyxoviridae","Amalgaviridae"
"SRR1611555",43.83146,12.24044,251.96415,184.386400003342,72.8455,112.03104,1372.8173,15.7163,21.15663,8.91134,1776.96021,9.8833,235.30961,141.07885,1231.75837,25.06157,779.95038,3017.135236,27.05486,1327.3257660451,86.60716,387.092284,19259.4369635252,16.4522,7456.9073740937,75.29919,34.22602,127.8222653822,15.4719,150.13369,4119.2646378,32.16965,2072.927294,1535.67665,660.487518,3459.3588963,99.7383094,3954.301468,18.55292,4.91657,13105.7930024207,42124.9176358046,4.3884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR1611556",54.25883,70.13466,513.28015,656.43129,134.83743,159.5752,2079.29504,40.3155,12.5636,0,979.87898,0,3588.853,871.70977,3049.51335,142.91717,2484.52668,3853.37418,184.0299,5858.38042,142.77712,958.78173,33727.1553362115,30.727,18621.6857270272,125.75358,0,257.05647,0,340.93836,6979.329132,68.1377,3682.74964814,4056.85958,2089.976682,5513.0937091,2161.07633,5991.7385141,188.1091,0,26393.7982512457,27087.64941532,34.5449,10.09119,641.18483,10.51063,67.52995,54.52895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR2131392",0,21.9339,99.34611,576.29314,12.273,0,1282.40895,8.0428,17.11645,0,705.300250136772,0,1584.519,44.79418,509.59242,0,199.56263,1938.993875,57.78881,1549.124572,57.52633,107.30912,14746.772745,0,3008.8383223,2726.51,0,10.10397,0,203.42259,2793.283835,0,1403.30841,837.93165,1119.854248431,3191.21178218254,269.0693,3901.638365,12.93232,0,5922.43128711459,8787.07540716801,0,54.99043,1048.864353,0,5.25279,0,3.70617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR1611557",11.67859,42.9657,165.79063,182.56219,436.6276,19.31612,1859.28327,30.0234,17.69375,0,1225.812020116,0,1243.228,158.90444,2021.27333577111,69.23056,896.65073,3371.5363,143.23957,3889.89576,190.53383,259.86545,24201.518886125,10.0369,15033.2275164993,87.16719,0,206.10619,28.064,544.3755507067,5708.52949925288,21.1366,2809.667238626,2074.38662,2133.5788,5270.11257936372,740.05886,4576.62549712081,159.17732,0,11635.144915352,26094.0862034843,13.5438,0,535.30775,0,22.75421,0,0,14.79981,6.91005,26.33602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR2131235",165.68341,41.73139,746.642551,570.27767,59.69856,216.14145,4102.22127057,13.1028,32.675912,0,1514.055548,0,2418.02,227.676056,1831.560053,207.750270012198,1221.3105249204,2762.454204,42.129782,2529.20255,469.554931163649,340.894916,36881.9050327751,7.13516,17362.691455672,121.23823,10.839502,359.313597,10.33281,214.85589,6094.40779347484,2.15694,3836.08744305,2591.840680294,2295.583785,7875.72200777,834.882492,9491.25772787284,42.08033,12.89616,29470.7682210771,21589.3925368904,3.7727,0,224.707073,0,10.32988,7.53918,0,3.32773,2.61534,2.37916,1.30411,18.43143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR2564755",22.053863,548.537332799,322.632242,408.911667011241,41.46193,43.141129,2197.57622672667,41.6723,209.851218,2.537194,2520.958149,2.44266,368.365,343.094177,3310.45008054885,185.698320002783,1641.44952129601,5416.9776705143,36.558996,10445.8386790492,414.578190996281,262.425276,46398.5555739827,29.22171,14508.2820810536,301.372182,6.0351,793.409207689,0,654.81212659207,9889.68171144636,0,5692.96617509,2639.05785872742,5150.26480778379,10591.1646227982,859.105021,9609.10785249278,119.1672,0,25097.2493688518,37790.8440065404,0,45.28745,298.7637776419,0,92.67809,0,0,0,5.12821,48.0184314584,0,1.8984,1.72323,1.07942,0.809563,0.947879,44.6341,0.648357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR9691423",58.50169,88.05746,480.93758,265.682,77.57787,72.763347,3116.3851052986,30.8476,2.11333,0,3004.663542,0,4010.22808,398.646492003308,1638.96793425621,187.243006,2279.8643199477,2295.58434701006,50.71047,6031.45981891885,83.167939,198.106761,41077.9070290376,0.80366,22397.4276621961,159.031372,0,926.4615128,0,338.000837,18718.1489536076,9.906724,5123.6188403734,7170.326108,2796.3447566493,7097.9674991,2034.599064,8443.91270996872,83.45286,0,33026.8646065217,36748.2299212735,6.315409,128.023788,40.280125,0,46.72934,0,0,23.85281,3.01696,2.58944,0,0,0,0,0,0,12.54466,2.4921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR10620231",1367.1786,37.56541,328.819145,843.6869,265.04612,44.26037,4521.445953918,56.8574,0,0,2333.6939,0,1963.05,257.173260000715,3759.57890576225,105.7686,1352.389918,2390.589406,308.67325979,4464.227196,8.110842,924.59488,35366.7666697906,0,12732.60792,462.4536,12.23839,172.278047,0,279.218833,10083.039045,8.557,3785.456269,4166.928417,2139.99595720064,12522.647517,1060.448353,4852.95793898065,150.94484,0,33531.0191348151,31115.05713746,4.84498,17.74933,100.251884,0,4.71667,0,0,0,2.18859,0,0,0,0,0,0,0,31.3913,0,1.6121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR9667736",15.0783,13.16357,190.906843,95.069403,19.62171,52.128392,1181.70083221917,5.4107,17.65803,0,268.802260419,8.06433,92.386574,176.60721467,529.323174042665,19.070399,823.275576,962.612039,9.6583302,1579.6053234,80.093025,88.848214,11087.3111628833,171.736903,4818.34271961564,38.636071,2.729359,88.199333,0,138.336243,4501.9079011697,2.9294,1521.29852207113,1257.437936,851.357865,2359.6305809,378.48116,3661.85116300001,319.702277,0,7525.98567776816,10017.6508689029,0,9.05283,285.628079,0,4.3837,5.460455,0,19.048793,0.916473,1.14181,0.576235,0,0,0,0,0,0,0,0,26.840699,1.63171,1.56723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR11747693",1302.193623,117.952957,506.639190432761,1149.85287,72.832873,19.728148,5846.72549138,36.21879,12.99448,2.45601,1616.617288,18.065877,3461.989337,461.152429,4142.2758767665,51.342086,1950.0848636688,3154.68207046733,557.167899,4495.11330065373,44.429443,351.01880401,52086.9626031209,55.711926,16432.7070177128,191.276527,22.246424,454.079119,30.11569,707.218248014797,15368.3438204,19.72875,5544.84063499482,4482.638094,1819.68915581746,8201.37929085467,1899.852323,8601.04359876634,264.075511,0,30313.3756982819,40019.9215084825,6.01763,12.358778,17.427656,0,10.77076,0,0,0,2.62208,10.449576,0.8868,0,0,0,0,0,6.80981,1.30453,2.04543,0,0,20.727433,3.89877,62.9732,1.5148,79.701971,3.88175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
