"accession","Ackermannviridae","Adenoviridae","Adintoviridae","Adomaviridae","Alloherpesviridae","Ascoviridae","Asfarviridae","Autographiviridae","Baculoviridae","Bicaudaviridae","Caulimoviridae","Chrysoviridae","Flaviviridae","Geminiviridae","Hepeviridae","Herelleviridae","Herpesviridae","Hytrosaviridae","Inoviridae","Iridoviridae","Lavidaviridae","Malacoherpesviridae","Marseilleviridae","Metaviridae","Microviridae","Mimiviridae","Myoviridae","Nairoviridae","Nimaviridae","Nudiviridae","Partitiviridae","Phycodnaviridae","Pithoviridae","Podoviridae","Polydnaviridae","Poxviridae","Reoviridae","Retroviridae","Salasmaviridae","Schitoviridae","Siphoviridae","Unclassified.viruses","Chuviridae","Coronaviridae","Fuselloviridae","Hepadnaviridae","Lipothrixviridae","Mitoviridae","Picornaviridae","Pseudoviridae","Secoviridae","Virgaviridae","Zobellviridae","Iflaviridae","Corticoviridae","Fiersviridae","Leviviridae","Ovaliviridae","Parvoviridae","Tobaniviridae","Closteroviridae","Marnaviridae","Nodaviridae","Dicistroviridae","Lispiviridae","Peribunyaviridae","Tombusviridae","Nyamiviridae","Astroviridae","Demerecviridae","Endornaviridae","Filoviridae","Pneumoviridae","Potyviridae","Totiviridae","Orthomyxoviridae","Circoviridae","Paramyxoviridae","Cystoviridae","Phenuiviridae","Tectiviridae","Mesoniviridae","Tymoviridae","Drexlerviridae","Hypoviridae","Bromoviridae","Caliciviridae","Rhabdoviridae","Atkinsviridae","Botourmiaviridae","Fusariviridae","Narnaviridae","Solemoviridae","Alphaflexiviridae","Cruciviridae","Mononiviridae","Picobirnaviridae","Solspiviridae","Yueviridae","Arenaviridae","Qinviridae","Bacilladnaviridae","Artoviridae","Togaviridae","Chaseviridae","Genomoviridae","Guttaviridae","Polycipiviridae","Bornaviridae","Mypoviridae","Bidnaviridae","Xinmoviridae","Mayoviridae","Polyomaviridae","Spiraviridae"
"SRR5353282",12.23263,486.462,585.901228278715,6.52903,81.67685,265.542730004173,68.0507,7.13059,5534.48431541,26.2609,42.10505,4.34189,1286.65443,9.18187,458.31642,175.57331,621.063707,251.70454,5671.777147,2371.1830237991,99.94635,18.05996,2802.298793,155.93271,353.607834,31607.0495944837,12824.1532087749,31.61545,15.15501,235.17094,86.93957,3922.83411656951,3236.593348608,5647.718156,1039.573584,3663.438652,111.66415,3132.9163619527,2354.907315,21.41779,25680.77526992,30971.489278106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR14583829",59.184528,1.611711,11.18083,28.01467,464.764533,739.980438,95.10747,108.753483,8927.26081894,13.9261,39.27767,17.100198,2800.127171,0,1463.67316,241.329844,920.59477537542,96.663442,6515.9691125336,2020.0956236206,201.25906,27.246386,3124.384914122,177.854613,248.048509,32545.9646447993,12528.0701308258,110.52628,9.10129,210.646944655,234.889147000518,7170.95687341651,4001.31154728961,3340.75627763332,1574.244113,9882.14701439173,210.233053,4726.27029644805,78.44007,0,20804.8400257637,24197.2394210112,1.62844,1.29617,2.48468,1.3348,4.3459,260.27891,10.25301,14.93813,8.69649,3.50744,15.01846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5353274",0,0,9014.94518901445,0,843.94076,28.964135,189.8849,0,369.57664,4.30624,11.753617,0,1891.49205,0,112.6932,0,142.77048,0,151.565980066838,775.72739948324,9.83552,0,430.44373,178.835031,100.34814,3306.901663,1808.19738701554,16.7411,0,16.43153,7.54992,646.137972,418.98569,1832.41816,3353.728599,1737.823352,9.56068,1009.862204,397.64706,0,1982.53406,11041.328258,0,0,0,0,34.1763,3.7552,0,6.45806,0,0,0,79.28892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR1147311",34.798029,6.900529,773.109195690093,15.45064859,374.19773,24.417895,44.66477082122,51.100252,846.0568771,8.775147,45.635674123,2.646413,1890.999814,2.38244,204.695453,163.407729,160.385914,3.333926,1338.11135204929,1833.13100305264,15.091976,12.426501,1468.6312953,344.85702495,75.7719263,7896.79884376066,6593.57819588494,48.99655,8.11089,72.45555,132.277792,1649.37845052134,1612.96540893,867.297389784191,788.390012715587,1811.64473331212,7.01537,4166.74967938164,45.608,0,8954.40744371878,11209.3069493249,1.63714,0,1.14674,0,5.712219,2.89423,0,7.772002,0,21.33652,0,0,1.181625,4.93421,1.01513,4.356434,1.410869,0.751449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR6766872",34.06144,27.54989,172.890414,31.92522,83.749384,271.396718,66.09433,61.211093,1779.11126096244,10.40228,83.134913,5.04416,1397.362081,2.62954,255.492865,139.490016,927.033726069128,66.144792,1229.73447942001,1506.83566421326,136.182287,24.228335,2017.27637525865,171.788527,288.935536,16192.2933035115,6472.04260144412,95.896766,4.23377,207.033032,204.50288,4518.66711908834,1636.8432267329,1257.4892038261,1950.29300559363,5042.02818509814,232.734801,3428.19723605048,62.639324,0,11078.1250549688,11836.9425469173,0,0,0,2.66508,7.01353,106.960027,2.94172,3.6023,7.33402903181,0,0,6.42601,0,1.87844,0,3.29884,0,0,2.047339,2.49145,4.42153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR9332008",0,3.104,4.443221,0,4.79345,69.67274,3.23835,4.3732,193.29808,0,47.276388,2.303218,128.218700014544,3.2198,17.1227,10.19906,81.290879,0,98.88621308327,212.2357503,1.06,0,382.119406046511,302.32986311,11.44331,1839.61932020048,484.245408067,19.15608,0,9.45603,20.409402,451.528259,273.159058,338.101911,499.44452387,920.696885,404.292773203696,644.196642329,11.17705,0,1028.37195,2452.40544513232,1.91493,0,0,0,0,2.635871,0,14.39678,0,0,0,1.42105,5.79277000333181,0,0,0,0,0,0,0,0,286.52017,2.32748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR12687642",1.10005,518.18592,1574.910377,19.03724,368.82037,3043.527798,120.1662,72.70146,3671.17978482,8.4704,4.424053,0,912.86257,0,1592.462078,583.652109,780.099222,16.51359,8331.926949,10420.710549,436.26769,8.74887,5074.338577,162.053356,369.00489,29641.999060121,9057.59267978473,442.33447,16.73458,918.42727,243.347896,8456.104709,4499.269626,1823.0989423,4721.58831785516,6590.01822909215,17269.4416970006,2311.608886,425.72171,0,17727.168022786,21515.2444679703,0,0,0,0,15.47066,0,2.70121,29.2827,16.5403,36.47346,0,1.17542,0,31.3153,0,0,11.14616,0,0,0,0,1.37779,0,2.38092,22.93026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR6998662",107.041,133.14162,616.130289,37.91158,56.80086,446.773389,60.13186,28.397737,2034.330059449,12.91004,46.61537,0,570.92174,4.83939,372.9278,360.93891,1350.28056,5.6387,1267.40087325842,2517.384401,76.89811,24.5698,2166.02763559092,531.993190000497,155.68541,20024.8978280983,9471.3252210824,270.83627,27.12933,266.13325,331.58748,4554.209415169,4119.1568281628,1643.786521,2373.127135,5670.66332367118,98.3572923,4726.43747726226,471.55492,0,18705.8502741277,20293.6327854185,94.96554,0,0,0,10.7419,5.86464,0,34.54269,9.29965,6.51904,0,0,13.3662,0,0,0,100.74147,0,0,0,0,0,0,0,41.4652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR1972516",0,2092.09135,29.05151,11.1486,505.000821,101.03588,20.829468,24.29312,9017.41506,7.82093,19.34768,0,138.11773,0,723.786,129.33739,489.619873,13.19736,424.945371,2041.409299,26.31722,13.23948,2409.02532200328,176.664558,128.05228,13562.704254,5989.787636,312.79446,2.34534,89.922348,111.15825,4388.951302,4197.00798,957.22089,3779.40234309102,3956.7631,150.66338,1263.946422,59.93015,0,15501.1507652767,19904.634453134,2.23445,0,0,0,6.99846,1.2832,2.34785,11.67254,13.22317,6.99956,0,0,8.96766,0,0,0,5.43014,0,0,0,0,0,0,0,0,18.88747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR1514880",0,399.52326,264.1385,40.4274,199.61844,2643.34632,94.02887,141.83678,9890.98209,35.7051,37.30674,8.73608,604.7485,0,685.91221,389.70498,4506.97723,12.5885,2647.36384,11383.4937550139,307.0234,0,5827.43091,138.72081441,318.7684,27143.7191001944,10779.06635,2390.64458,41.0468,1782.90413,305.56675,12606.79056,6339.68415,2520.1509022701,3646.83903,6177.82585,12072.21239,2516.337183,57.24681,0,26233.796817733,33966.7073469,0,0,0,0,23.29817,4.36964,0,40.66146,0,23.3668,0,0,5.36151,7.85737,0,0,19.54305,0,0,0,0,0,3.97904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
