"accession","Ackermannviridae","Adenoviridae","Adintoviridae","Alloherpesviridae","Ascoviridae","Asfarviridae","Autographiviridae","Baculoviridae","Bicaudaviridae","Caulimoviridae","Flaviviridae","Geminiviridae","Hepeviridae","Herelleviridae","Herpesviridae","Hytrosaviridae","Inoviridae","Iridoviridae","Lavidaviridae","Malacoherpesviridae","Marseilleviridae","Metaviridae","Microviridae","Mimiviridae","Myoviridae","Nairoviridae","Nimaviridae","Nudiviridae","Partitiviridae","Phycodnaviridae","Pithoviridae","Podoviridae","Polydnaviridae","Poxviridae","Reoviridae","Retroviridae","Salasmaviridae","Schitoviridae","Siphoviridae","Unclassified.viruses","Adomaviridae","Chrysoviridae","Chuviridae","Lipothrixviridae","Mitoviridae","Pseudoviridae","Secoviridae","Virgaviridae","Ovaliviridae","Parvoviridae","Closteroviridae","Marnaviridae","Nodaviridae","Dicistroviridae","Peribunyaviridae","Tombusviridae","Corticoviridae","Nyamiviridae","Picornaviridae","Lispiviridae","Astroviridae","Demerecviridae","Endornaviridae","Filoviridae","Fuselloviridae","Iflaviridae","Pneumoviridae","Potyviridae","Totiviridae","Orthomyxoviridae","Paramyxoviridae","Fiersviridae","Hepadnaviridae","Cystoviridae","Phenuiviridae","Tectiviridae","Mesoniviridae","Tymoviridae","Circoviridae","Drexlerviridae","Hypoviridae","Bromoviridae","Coronaviridae","Caliciviridae","Rhabdoviridae","Atkinsviridae","Botourmiaviridae","Leviviridae","Narnaviridae","Solemoviridae","Alphaflexiviridae","Cruciviridae","Zobellviridae","Picobirnaviridae","Solspiviridae","Yueviridae","Arenaviridae","Tobaniviridae","Qinviridae","Bacilladnaviridae","Artoviridae","Togaviridae","Chaseviridae","Genomoviridae","Polycipiviridae","Bornaviridae","Bidnaviridae","Mypoviridae","Mayoviridae","Spiraviridae"
"SRR5353282",12.23263,486.462,566.362188278715,47.12606,265.542730004173,68.0507,7.13059,5397.26921541,26.2609,34.92511,1267.09485,9.18187,198.46902,154.98654,556.567817,251.70454,4372.328127,2088.7968477991,99.94635,18.05996,2659.916563,139.20991,310.700654,30125.8558954837,11807.1555456429,31.61545,15.15501,223.12299,86.93957,3577.59602448399,3067.085518608,4356.158206,820.835403999999,2957.925757,111.66415,2893.1737359527,181.5863,21.41779,19193.16271392,21941.860011116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR14583829",59.184528,0,0.964668,374.510308,737.287748,95.10747,58.775583,8768.15430694,13.9261,32.61723,2796.486651,0,1099.40416,212.663354,825.40413987542,92.311822,1408.8619405336,1874.4835616206,180.56627,27.246386,2789.760285222,164.893181,245.157589,30535.7062085153,9756.53368248861,110.52628,8.01117,209.816957655,229.508217000518,6148.25025341651,3926.32399228961,3206.95320463332,1254.895334,9141.02689639173,210.233053,4481.82945506805,78.44007,0,18491.8514397629,20105.4176702129,25.04375,17.100198,1.62844,2.06623,260.27891,14.93813,8.69649,3.50744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5353274",0,0,7073.34622211445,3.35476,25.050405,35.44798,0,259.57835,4.30624,0.490817,1885.47409,0,80.9361,0,65.8739,0,144.193710066838,563.46887948324,9.83552,0,367.0519,178.835031,100.34814,2905.190133,694.034237015539,0,0,16.43153,7.54992,555.485392,274.85848,1819.31606,2434.148283,1480.602802,9.56068,928.686204,3.2502,0,1646.8374,9889.690401,0,0,0,34.1763,0,6.45806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR1147311",34.798029,1.65082,691.681803690093,367.069688,19.735391,44.40901082122,50.207183,760.4037323,8.775147,35.587668123,1890.322204,2.38244,204.695453,135.382549,146.471248,3.333926,1240.93855204929,1491.95284005264,15.091976,9.850494,1302.0658737,320.96350195,56.106645,7232.15048776065,4849.89320155494,48.99655,8.11089,71.649655,129.208175,1497.66695852134,1565.82049093,694.337630784191,604.453020171503,1591.14775271212,7.01537,4035.32925908164,18.3973,0,7435.9845600298,9394.59121922485,3.5138948,0,0,5.712219,2.89423,7.772002,0,18.227,4.356434,1.410869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR6766872",34.06144,25.95912,135.959634,44.635894,189.497109,51.96965,35.77947,1642.82824596244,10.40228,70.831816,1271.834591,2.62954,171.272265,122.47569,674.366844,37.2208,1131.90254142001,1384.62402921326,118.224667,22.101045,1862.77714425865,152.865987,249.188376,14303.0636575115,5457.44482688413,84.412874,4.23377,191.710205,196.415888,4014.19622195323,1486.4778697329,991.9305438261,1541.44702558328,4479.729499091,191.332224,2952.60319115048,61.6544,0,9640.93252076081,9612.90881836676,0,2.40974,0,7.01353,104.125457,2.10815,0,0,0,0,0.776639,2.49145,4.42153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR9332008",0,0,4.443221,4.79345,60.16281,3.23835,2.29457,172.77437,0,43.251168,113.450119014544,2.09579,17.1227,4.60245,69.983349,0,80.06755308327,165.8676623,1.06,0,310.400946046511,240.12829111,2.03901,1541.48291920048,347.6841,15.90501,0,9.45603,20.409402,404.711249,233.643699,211.442065,351.82031787,716.45346,224.230693203696,458.947429329,11.17705,0,801.91866,2019.74305013232,0,0,0,0,0.604621,7.32884,0,0,0,0,0,0,0,143.39297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR12687642",0,232.21442,1555.384867,358.76335,3002.412339,120.1662,1.77138,2765.65492582,8.4704,4.424053,912.86257,0,1190.517078,561.239999,714.510842,8.87466,3488.027679,10059.740918,436.26769,8.74887,4679.426762,142.898666,369.00489,27159.5052781211,8073.61182778473,442.33447,16.73458,811.66427,243.347896,7904.056029,4436.734496,1764.4360723,4613.57258685516,5594.29842809215,17248.8513670006,2220.03727,203.63546,0,15345.025900786,19074.6413435316,0,0,0,15.47066,0,22.07612,0,36.47346,0,8.86621,0,0,0,1.37779,2.38092,22.93026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR6998662",107.041,127.2496,228.283099,44.83156,437.113319,60.13186,3.1102,1675.027999449,12.91004,41.1464,566.97754,4.83939,136.3631,302.95636,1179.83344,0,1200.13540325842,2195.156381,69.09415,24.5698,1752.07143559092,439.393900000497,146.99369,17661.5644500983,8020.6380710824,267.13556,27.12933,224.22181,268.983,3867.495793169,3869.0653681628,1525.333045,1886.368931,5095.73551947118,98.3572923,4431.59760726226,255.0359,0,16483.0626322427,17686.5192044107,7.52959,0,93.35129,10.7419,5.86464,34.54269,0,6.51904,0,100.74147,0,0,0,0,0,41.4652,3.03354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR1972516",0,2092.09135,21.3693,502.423221,95.87502,20.829468,4.15492,8967.10797,7.82093,15.12686,138.11773,0,326.568,116.2215,474.651433,10.20239,399.250911,1751.726229,15.15982,13.23948,1495.565903,157.819838,123.46869,12200.366454,5701.606202,312.79446,2.34534,87.804038,108.20354,4229.415739,3708.76174,891.9851,3733.17483309102,3775.62523,149.08522,1193.325882,55.5848,0,12453.9637252767,19111.332833,5.40848,0,0,6.99846,1.2832,8.47482,0,4.47484,0,5.43014,0,0,0,0,0,0,7.40906,17.44362,2.34785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR1514880",0,399.52326,212.42199,187.64105,2612.60317,94.02887,54.84108,9293.99359,35.7051,21.7302,498.3425,0,280.459,369.09627,4345.32536,7.64679,2522.72958,11161.5001050139,307.0234,0,4295.31732,93.13513441,276.8535,23862.77518692,10326.04599,2390.64458,41.0468,1358.90657,299.14763,12350.04778,5746.49389,1834.79457,3536.0398,5319.57524,12072.21239,2356.135053,30.52351,0,24186.105777733,31122.523608,13.65658,0,0,23.29817,0,15.19973,0,23.3668,0,19.54305,0,0,0,0,0,0,5.36151,0,0,3.97904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
