run	phyl	species	Trimmomatic (min)	clumpify (min)	sortmerna (min)	trinity	diamond	kallisto	kaiju	descarga (estan movidos, no corresponden a la accession, pero sirve para distribucion)
SRR11906528	Nemertea	Amphiporus lactifloreus	5	2,5	36,5	178	93,5	NA	8	NA
SRR7687009	Nemertea	Antarctonemertes valida	18	12	369,5	842,5	194,5	17	14,5	13
SRR1505175	Nemertea	Baseodiscus unicolor	10	3,5	50	477,5	210	11	6,5	11
SRR618507	Nemertea	Cerebratulus marginatus	6	2,5	52	299	97	8	5	6
SRR1797867	Nemertea	Cerebratulus sp.	10	3	49,5	292	146	7	7,5	4
SRR1505099	Nemertea	Hubrechtella ijimai	5	2	38	250	100,5	4	3,5	4
SRR3581115	Nemertea	Lineus sanguineus	5,5	2	29	169,5	98,5	4	3,5	4
SRR3581106	Nemertea	Lineus viridis	14	3,5	73	372,5	136	8	10,5	5
SRR1611560	Nemertea	Malacobdella grossa	2	1,5	33,5	70,5	58,5	2	1,5	5
SRR1508368	Nemertea	Nipponnemertes sp.	7	2	40,5	194	88	3	5	5
SRR5811995	Nemertea	Notospermus geniculatus	9	2	43	301	142	6	7,5	5
SRR1611562	Nemertea	Paranemertes peregrina	4	2	61,5	104	62	3	2,5	5
SRR3581128	Nemertea	Ramphogordius lacteus	6	1,5	34,5	193,5	111	4	4	7
SRR1611583	Nemertea	Tubulanus polymorphus	3	1,5	40	108	65,5	3	2	4
SRR14868528	Onychophora	Eoperipatus sp.	6	1,5	34,5	333	79,5	5	3,5	3
SRR14561348	Onychophora	Eoperipatus totoro	8	2,5	46,5	211,5	172,5	4	6	4
SRR13614426	Onychophora	Epiperipatus broadwayi	5,5	2	30	661	158,5	10	3	4
SRR8320992	Onychophora	Epiperipatus sp.	8	4	47,5	862	138,5	5	4,5	8
SRR13614433	Onychophora	Epiperipatus trinidadensis	5	3,5	29	416	152	16	3,5	9
SRR13614432	Onychophora	Epiperipatus vagans	6	2	23,5	726	108	22	3	7
SRR13614431	Onychophora	Euperipatoides kanangrensis	3	1	25	272	65	12	2,5	4
SRR11128566	Onychophora	Euperipatoides rowelli	9	2,5	46,5	659,5	176,5	9	5	4
SRR13614430	Onychophora	Kumbadjena occidentalis	8	2,5	44,5	876	127,5	43	4	4
SRR13614429	Onychophora	Macroperipatus torquatus	7,5	2	38	1021	134,5	14	3,5	6
SRR13614428	Onychophora	Macroperipatus valerioi	5,5	2	33,5	394	77,5	99	3	4
SRR13614424	Onychophora	Metaperipatus inae	5,5	1,5	31	375	94	24	3,5	5
SRR13614423	Onychophora	Occiperipatoides gilesii	7,5	3,5	49	404,5	80	31	5	6
SRR13614447	Onychophora	Opisthopatus highveldi	2,5	1,5	21,5	238	55	12	1,5	5
SRR8318947	Onychophora	Opisthopatus kwazululandi	8	2,5	36	598,5	122	50	5	4
SRR13614446	Onychophora	Oroperipatus eisenii	6,5	1	166	252	81	NA	4,5	7
SRR13614445	Onychophora	Oroperipatus sp.	5	2,5	146	639,5	101,5	317	4	4
SRR13614443	Onychophora	Peripatidae sp.	10	2	49	912	162,5	98	5	5
SRR13614440	Onychophora	Peripatopsidae sp.	9	2	46	803,5	129	67	4,5	5
SRR13614438	Onychophora	Peripatopsis bolandi	12	3	62	687	131	45	7,5	7
SRR1145776	Onychophora	Peripatopsis overbergiensis	5	3	47,5	481,5	69	4	3	8
