"phylum","species","accession","nreads","habitat","Adenoviridae","Adintoviridae","Alloherpesviridae","Amalgaviridae","Arenaviridae","Ascoviridae","Asfarviridae","Astroviridae","Baculoviridae","Betaflexiviridae","Bromoviridae","Caliciviridae","Caulimoviridae","Chuviridae","Circoviridae","Coronaviridae","Cystoviridae","Deltaflexiviridae","Dicistroviridae","Endornaviridae","Flaviviridae","Gammaflexiviridae","Geminiviridae","Hepadnaviridae","Hepeviridae","Herpesviridae","Hypoviridae","Hytrosaviridae","Iflaviridae","Inoviridae","Iridoviridae","Lavidaviridae","Leviviridae","Lispiviridae","Luteoviridae","Malacoherpesviridae","Marnaviridae","Marseilleviridae","Mesoniviridae","Metaviridae","Mimiviridae","Mitoviridae","Mymonaviridae","Nairoviridae","Narnaviridae","Nimaviridae","Nodaviridae","Nudiviridae","Orthomyxoviridae","Papillomaviridae","Paramyxoviridae","Partitiviridae","Parvoviridae","Phasmaviridae","Phenuiviridae","Phycodnaviridae","Picornaviridae","Pithoviridae","Podoviridae","Polycipiviridae","Polydnaviridae","Polyomaviridae","Potyviridae","Poxviridae","Reoviridae","Retroviridae","Rhabdoviridae","Schitoviridae","Secoviridae","Solemoviridae","Solinviviridae","Tobaniviridae","Tombusviridae","Totiviridae","Unclassified","Virgaviridae","Xinmoviridae"
"ANNELIDA","Amynthas_aspergillus","SRR8297750",25959642,"Terrestrial",0,0,23,0,0,236,0,0,668,0,0,0,1,0,0,0,0,0,0,0,39513,0,0,0,3030,34,0,0,0,0,142,0,0,0,0,0,0,5561,0,0,29307,24693,0,199,0,15,0,418,0,0,0,1399,0,0,0,15208,0,1735,0,0,283,0,3,3869,10943,146402,0,0,0,0,0,0,0,0,54525,0,0
"ANNELIDA","Amynthas_aspergillus","SRR8297751",25726941,"Terrestrial",0,0,23,1,0,268,0,0,742,0,0,0,0,0,0,0,0,0,0,0,43698,0,2,0,3108,32,0,0,0,0,135,0,0,0,0,0,0,5936,0,0,28593,13086,0,170,0,5,0,454,0,0,0,1266,0,0,0,15978,2,1687,0,0,235,0,2,3974,963,171981,1,0,0,0,0,0,0,0,58137,0,0
"ANNELIDA","Amynthas_aspergillus","SRR8297752",27480169,"Terrestrial",0,0,35,0,0,322,0,0,791,0,0,0,0,0,0,0,0,0,0,0,46115,0,1,0,3367,42,0,0,0,0,149,0,0,0,0,0,0,6551,0,0,32634,18947,0,196,0,24,0,418,0,0,0,1615,0,0,0,17681,0,1951,0,0,274,0,11,4154,5055,197594,1,0,0,0,0,0,0,1,61623,0,0
"ANNELIDA","Amynthas_gracilis","SRR8416228",17036446,"Terrestrial",0,0,21,0,11,142,0,0,681,0,0,0,0,0,0,0,0,0,0,0,14878,0,0,0,642,18,0,0,0,0,38,0,0,0,0,0,1,1582,0,0,9513,4890,0,109,0,13,0,157,0,0,0,670,0,0,0,8841,10,482,0,0,353,1,6,1001,343,38311,0,0,0,0,0,0,0,0,43378,0,0
"ANNELIDA","Amynthas_gracilis","SRR8449998",12318820,"Terrestrial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ANNELIDA","Dichogaster_saliens","SRR5353279",26975461,"Terrestrial",0,4,0,0,0,24,0,0,482,0,0,0,0,0,0,0,0,0,0,0,10172,0,0,0,1158,1,0,0,0,0,39,0,0,0,0,0,0,847,0,0,5153,1531,0,2,0,1,0,11,0,0,0,60,0,0,0,1063,1,251,0,0,14,0,17,1019,233,16375,0,0,0,0,0,0,0,0,42369,0,0
"ANNELIDA","Eisenia_fetida","SRR11184803",29710438,"Terrestrial",0,0,34,0,0,39,0,0,1540,0,0,0,0,0,0,0,0,0,0,0,23337,0,0,0,8711,12,0,0,0,0,59,0,0,0,0,0,0,3185,0,0,20042,17437,0,3,0,10,0,130,0,1,0,1419,0,0,0,3235,2,690,0,0,36,0,0,2946,3322,73267,0,0,0,0,0,0,0,0,77504,0,0
"ANNELIDA","Eisenia_fetida","SRR3176544",26957857,"Terrestrial",0,0,16,0,15,24,0,0,1260,0,0,0,0,0,0,0,0,0,0,0,34054,0,0,0,990,22,0,0,0,0,53,0,1,0,0,0,0,1637,0,0,9939,22754,1,43,0,7,0,61,0,1,0,380,0,0,0,4216,7,382,0,1,1095,0,0,688,3065,21245,0,0,0,0,0,0,0,0,62312,0,0
"ANNELIDA","Eisenia_fetida","SRR5820006",58851906,"Terrestrial",0,0,15,0,0,167,0,0,2844,1,0,0,0,0,0,0,0,0,0,0,141375,0,0,0,9763,46,0,0,0,0,127,0,0,0,0,0,0,7090,0,0,67035,153029,0,72,0,4,0,654,0,4,0,1371,0,0,0,20437,8,1592,0,0,319,0,0,8867,113440,356912,0,0,0,0,0,0,0,0,176199,0,0
"ANNELIDA","Perionyx_excavatus","SRR11266795",35055795,"Terrestrial",1,0,138,0,0,93,0,0,1390,0,0,0,0,0,0,0,0,0,0,0,28899,0,0,0,2618,111,0,0,0,0,189,0,0,0,0,0,0,7508,0,0,40014,29199,0,190,0,95,0,540,0,0,0,950,0,0,0,13438,14,2189,0,0,207,0,0,3934,826,372155,0,0,0,0,0,0,0,0,89632,0,0
"ARTHROPODA","Anapis_sp._GH2392","SRR12687648",22831094,"Terrestrial",0,14,197,0,0,385,0,0,1150,0,0,0,0,0,0,0,0,0,188,0,28576,0,0,0,294,5,0,0,0,0,142,0,0,0,0,0,0,6182,0,0,48371,28837,0,140,0,8,0,816,0,0,0,1569,0,0,0,13160,0,759,0,0,2276,0,0,9011,8,13952,46,0,0,0,2,0,0,0,50278,0,0
"ARTHROPODA","Geogarypus_maculatus","SRR9331988",22340897,"Terrestrial",0,0,0,0,0,136,128,0,2237,0,0,0,0,8,0,0,0,0,470,0,34117,9,0,0,4029,81,16,0,0,0,159,0,0,0,0,1,0,12225,0,0,50999,44508,0,821,0,0,0,974,0,0,0,1413,12,0,0,17961,0,1281,0,0,4488,0,405,14172,13526,29396,0,0,0,0,2,0,0,0,43078,1,0
"ARTHROPODA","Hadrurus_arizonensis","SRR1721733",1503884,"Terrestrial",0,1,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,10,0,0,0,69,0,6,0,0,0,0,0,0,100,0,0,661,454,0,18,0,0,0,20,0,0,0,4,0,0,0,118,0,113,0,0,56,0,1,31,2,528,0,0,0,0,105,0,0,0,608,0,0
"ARTHROPODA","Heteropoda_sp._ATS12","SRR6425926",20212269,"Terrestrial",0,17,5,0,1,123,0,0,475,0,0,0,0,0,0,0,0,0,0,0,27007,0,0,0,866,6,0,0,0,0,129,0,0,0,0,0,0,2506,0,0,19329,7480,0,71,0,1,0,62,0,0,0,662,0,0,0,3641,0,586,0,0,1201,0,0,4560,760,290599,0,0,0,0,0,0,0,0,51496,0,0
"ARTHROPODA","Lechytia_hoffi","SRR9332011",30013675,"Terrestrial",0,10,0,0,0,53,155,0,899,0,0,0,8,0,0,0,0,9,0,0,10077,0,0,0,162,10,0,0,0,0,187,0,0,0,0,0,0,1411,16,0,36749,7343,0,215,0,0,0,78,0,0,0,94,0,0,0,4182,0,519,0,0,4063,0,0,545,7692,32532,0,0,0,0,0,0,0,0,21228,0,0
"ARTHROPODA","Leptoctenus_byrrhus","SRR10413987",24541593,"Terrestrial",1,1,14,0,0,90,1,0,3194,0,0,0,2,0,0,0,0,0,131,0,9321,0,0,0,767,14,0,0,1,0,195,0,0,0,1,0,0,2213,0,0,22653,10170,0,87,0,0,0,45,0,0,0,1393,1,0,0,6621,0,823,0,0,4933,0,0,4749,3814,155642,0,0,0,0,0,0,0,0,41913,0,0
"ARTHROPODA","Mastigoproctus_giganteus","SRR1145698",25943034,"Terrestrial",0,0,10,0,0,53,0,0,324,0,0,0,0,0,0,0,0,0,0,0,20866,0,0,0,259,5,0,0,0,0,26,0,0,0,0,0,0,2606,0,0,20405,18867,0,110,0,0,0,99,0,0,0,950,0,0,0,3260,0,334,0,0,734,0,0,2104,226,331537,0,0,0,0,0,0,0,0,43759,0,0
"ARTHROPODA","Parasteatoda_tepidariorum","DRR047012",15086185,"Terrestrial",0,0,3,0,0,111,6,0,856,0,0,0,0,0,1,0,0,0,51,0,15705,0,0,0,1627,11,0,0,0,0,139,0,0,0,0,7,0,3220,0,0,31197,9313,0,13,0,1,0,1326,0,0,0,1308,0,0,0,8461,0,878,0,0,1479,0,24,5531,216,206423,0,0,2,0,0,0,0,0,35477,0,0
