"phylum","species","accession","habitat","Marnaviridae","Adintoviridae","Retroviridae","Partitiviridae","Unclassified.viruses","Dicistroviridae","Myoviridae","Mimiviridae","Picornaviridae","Poxviridae","Narnaviridae","Totiviridae","Mitoviridae","Parvoviridae","Lispiviridae","Chuviridae","Rhabdoviridae","Amalgaviridae","Solinviviridae","Iridoviridae","Mesoniviridae","Iflaviridae","Virgaviridae","Flaviviridae","Pithoviridae","Marseilleviridae","Siphoviridae","Phycodnaviridae","Podoviridae","Phenuiviridae","Polydnaviridae","Tombusviridae","Metaviridae","Orthomyxoviridae","Xinmoviridae","Phasmaviridae","Betaflexiviridae","Autographiviridae","Chrysoviridae","Microviridae","Hypoviridae","Fusariviridae","Baculoviridae","Alloherpesviridae","Gammaflexiviridae","Alphaflexiviridae","Peribunyaviridae","Nairoviridae","Potyviridae","Reoviridae","Ascoviridae","Bidnaviridae","Klosneuvirinae","Circoviridae","Asfarviridae","Drexlerviridae","Megaviridae","Chaseviridae"
"ANNELIDA","Amynthas_aspergillus","SRR8297750","Terrestrial",4.93509,8.63556,6.03436,1558,369881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANNELIDA","Amynthas_aspergillus","SRR8297751","Terrestrial",0,2.87633,4.97073,0,377454,2.99142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANNELIDA","Amynthas_aspergillus","SRR8297752","Terrestrial",0,5.50806,5.48588,0,385462,0,3.20895,2.40998,6.29138,1.65404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANNELIDA","Amynthas_gracilis","SRR8416228","Terrestrial",0,0,0,0,544517,0,0,3.41032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANNELIDA","Amynthas_gracilis","SRR8449998","Terrestrial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANNELIDA","Eisenia_fetida","SRR3176544","Terrestrial",0,158695,0,0,659794,0,0,0,1.86241,0.974541,3.57871,2.11864,1012.32129,6.41915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANNELIDA","Perionyx_excavatus","SRR11266795","Terrestrial",0,11.2441,0,0,300381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARTHROPODA","Anapis_sp._GH2392","SRR12687648","Terrestrial",0,2.33144,0,0,686663,13.9394,0,0,17156,0,0,0,0,0,1.3449,3.34696,37.7612,0.223153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARTHROPODA","Hadrurus_arizonensis","SRR1721733","Terrestrial",0,0,0,0,642459,0,0,0,0,0,0,0,0,0,0,0,0,0,144727,11.8681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARTHROPODA","Lechytia_hoffi","SRR9332011","Terrestrial",0,0,0,0,838466,0,0,0,0,0,0,0,0,0,0,3.55912,0,0,0,0,13.4047,55.8412,0.404985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
