"phylum","species","accession","habitat","Adintoviridae","Baculoviridae","Circoviridae","Flaviviridae","Herpesviridae","Iridoviridae","Marnaviridae","Marseilleviridae","Mimiviridae","Myoviridae","Nairoviridae","Partitiviridae","Parvoviridae","Phycodnaviridae","Pithoviridae","Polydnaviridae","Poxviridae","Retroviridae","Siphoviridae","Unclassified.viruses","Dicistroviridae","Hytrosaviridae","Metaviridae","Picornaviridae","Reoviridae","Hepadnaviridae","Microviridae","Alloherpesviridae","Amalgaviridae","Ascoviridae","Autographiviridae","Mitoviridae","Narnaviridae","Totiviridae","Podoviridae","Chuviridae","Iflaviridae","Rhabdoviridae","Secoviridae","Solinviviridae","Caliciviridae","Caulimoviridae","Mesoniviridae","Nimaviridae","Virgaviridae","Asfarviridae","Adomaviridae","Lispiviridae","Nudiviridae","Adenoviridae","Hypoviridae","Inoviridae","Ackermannviridae","Alphaflexiviridae","Bromoviridae","Chrysoviridae","Closteroviridae","Gammaflexiviridae","Medioniviridae","Peribunyaviridae","Potyviridae","Pseudoviridae","Cruliviridae","Tospoviridae","Corticoviridae","Herelleviridae","Malacoherpesviridae"
"ANNELIDA","Amynthas_aspergillus","SRR8297750","Terrestrial",26.067348,16.56322,2.10581,0.636257,1.31449,9.33335,7.840532,0,31.400392,22.70038,3.50724,1.558,2.49985,16.18579,6.95543,8.77012,162.943234,62.928348,17.57484,41.089018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANNELIDA","Amynthas_aspergillus","SRR8297751","Terrestrial",20.097102,18.118051,3.63942,0,0,16.535405,0,0,29.437106,8.7249,3.19345,0,0,15.9021,3.36873,5.24959,23.409735,63.803648,8.637296,44.894084,1.05378,1.13511,2.84778,1.15595,1.33385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANNELIDA","Amynthas_aspergillus","SRR8297752","Terrestrial",18.68023,25.07439,3.90809,0,1.02781,8.68716,0,6.03552,42.5043,16.30917,2.85141,0,0,10.815692,15.917905,4.818782,48.846587,43.314304,6.269007,46.994985,2.53574,0,0,4.55581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANNELIDA","Amynthas_gracilis","SRR8416228","Terrestrial",3.18729,25.94081,0,0,1.89456,4.93808,0,0,76.78091,1.98473,3.24608,0,0,552.19558,0,13.66862,15.31584,18.31838,4.3733,40.53137,0,0,0,0,0,1.60568,219.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANNELIDA","Amynthas_gracilis","SRR8449998","Terrestrial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANNELIDA","Dichogaster_saliens","SRR5353279","Terrestrial",236.74343,4.317486,0,0,0,1.43665,0,0,12.139458,7.932336,0,0,0,7.87492,0,5.3696,330.86176,2.88485,7.691703,39.679863,9.300446,0,0,0,0,0,3.78095,0,0,0,0,0,0,0,3.97723,0,0,0,0,0,0,0,0,0,0,0,0,0,3.16268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANNELIDA","Eisenia_fetida","SRR3176544","Terrestrial",1148.70702304,11.409465,0,0,1.96521,6.428164,0,0,7.812197,257.715774,2.28702,0,1.85653,4.991512,0,57.762943,19.08001,0.482983,453.729112,96.831863,0,0,0,6.25162,0,0,0,5.31529,4.009058,2.58658,4.20743,3.34834,3.57871,1.7616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANNELIDA","Eisenia_fetida","SRR11184803","Terrestrial",143.042947,10.07937,0,0,0,1.57702,0,1.21734,3.64938,2.91288,0,0,0,0,5.01098,8.88764,17.908073,5.52953,2.83969,3.24689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANNELIDA","Eisenia_fetida","SRR5820006","Terrestrial",280.72191385554,15.17038757,0,0,0,6.737111,0,3.502975,18.978065,4.005986,1.42045,0,5.5323,11.681386,0,22.698165,10.105745,2.924708,48.9734668,22.147275,0,0,0,0,0,0,0,0.861835,0,0,0,0,0,0.612333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.684275,2.213733,0.473319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANNELIDA","Perionyx_excavatus","SRR11266795","Terrestrial",59.869799,40.20497,0,0,0,9.296308,0,0,18.804414,27.955333,2.70151,0,0,29.3211,0,4.87998,4.776695,0,3.93548,14.605499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.96429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
