"phylum","species","accession","habitat","Adintoviridae","Marseilleviridae","Mimiviridae","Nairoviridae","Partitiviridae","Parvoviridae","Pithoviridae","Poxviridae","Retroviridae","Unclassified.viruses","Baculoviridae","Phycodnaviridae","Polydnaviridae","Picornaviridae","Microviridae","Autographiviridae","Herpesviridae","Iridoviridae","Myoviridae","Siphoviridae","Amalgaviridae","Dicistroviridae","Flaviviridae","Iflaviridae","Rhabdoviridae","Secoviridae","Solinviviridae","Caliciviridae","Chuviridae","Hytrosaviridae","Mesoniviridae","Virgaviridae","Asfarviridae","Nudiviridae","Adenoviridae","Alloherpesviridae","Hypoviridae","Chrysoviridae","Closteroviridae","Potyviridae","Podoviridae","Reoviridae","Tospoviridae","Inoviridae","Lispiviridae","Mitoviridae"
"ANNELIDA","Amynthas_aspergillus","VirFinder","Terrestrial",5.614172,0,13.741,3.50724,0,2.49985,6.95543,15.786159,48.636453,2.48733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANNELIDA","Amynthas_aspergillus","VirFinder","Terrestrial",9.115617,0,0,3.19345,0,0,3.36873,12.972959,42.752452,1.749118,0.518911,3.76668,3.96861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANNELIDA","Amynthas_aspergillus","VirFinder","Terrestrial",10.446284,3.05345,2.40998,2.85141,0,0,15.917905,25.08844,27.285771,14.664781,25.07439,2.42321,0.207682,2.60222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANNELIDA","Amynthas_gracilis","VirFinder","Terrestrial",0,0,39.28972,0,0,0,0,7.97203,9.81301,5.25235,14.00555,537.45397,1.31066,0,219.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANNELIDA","Amynthas_gracilis","VirFinder","Terrestrial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANNELIDA","Dichogaster_saliens","VirFinder","Terrestrial",39.767712,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78095,0,0,1.43665,4.250796,0,0,5.0086,0,0,0,0,0,0,0,0,0,0,0,3.16268,0,0,0,0,0,0,0,0,0,0,0,0
"ANNELIDA","Eisenia_fetida","VirFinder","Terrestrial",523.605595039,0,1.87998,0,0,1.85653,0,0,0,27.98246,8.217483,1.10964,21.082204,2.64879,0,4.20743,1.96521,2.107604,16.83442,23.35542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANNELIDA","Eisenia_fetida","VirFinder","Terrestrial",49.105451,0,0,0,0,0,0,10.157183,2.76548,0,7.53648,0,0,0,0,0,0,1.57702,1.53947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANNELIDA","Eisenia_fetida","VirFinder","Terrestrial",99.911297,1.07132,1.14919,0,0,5.5323,0,3.01377,1.02749,2.709948,7.91127657,1.26284,9.414014,0,0,0,0,0,0,8.617105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.684275,0.861835,0.526982,0,0,0,0,0,0,0,0,0
"ANNELIDA","Perionyx_excavatus","VirFinder","Terrestrial",28.38118,0,9.91882,0,0,0,0,0,0,6.237489,37.54741,0,3.20495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARTHROPODA","Anapis_sp._GH2392","VirFinder","Terrestrial",12.811337,0,8.213059,0,0,1.260602,0,9.222405,0,30.358185661728,0,1.87654,43.002908,0,5.6722,0,0,0,12.38583,0,0.986525,32.441608,1.25231,28.078199,9.955133,1.42414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARTHROPODA","Geogarypus_maculatus","VirFinder","Terrestrial",1.298754,0,0,0,1.38214,10.591504,0,0,0,15.55318,0,0,18.09187,0,0,0,0,6154.62223,0,0,0,6.64106,0,0,4.88907,0,0,0,11.498313,0,0,3.84767,0,0,0,0,1.87317,2.84654,2.02795,2.84885,0,0,0,0,0,0
"ARTHROPODA","Hadrurus_arizonensis","VirFinder","Terrestrial",10.3757,0,0,42.9302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159.2972,0,0,61.7063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
